,FIPS,race,lon,lat
0,170010001001017,P1_015N,-91.3729912831949,39.957757471758434
0,170010001001018,P1_003N,-91.37541766783119,39.955341524818955
0,170010001001036,P1_003N,-91.33633532644821,39.94798483903289
1,170010001001036,P1_003N,-91.33873556346215,39.948804068024586
0,170010001001042,P1_003N,-91.35068652911137,39.9435102368347
1,170010001001042,P1_003N,-91.35031421708116,39.9426822875729
0,170010001002002,P1_003N,-91.3616523700461,39.944390857077096
0,170010001002004,P1_003N,-91.36749543701438,39.942150323796625
1,170010001002004,P1_003N,-91.3665232808381,39.94214855710194
0,170010001002005,P1_003N,-91.36477530437399,39.94075930796091
1,170010001002005,P1_003N,-91.36695637709603,39.94092159429503
0,170010001002011,P1_003N,-91.36299797303695,39.940271911134744
0,170010001003004,P1_003N,-91.37634737415708,39.948179929852955
1,170010001003004,P1_003N,-91.37722004044922,39.94702872191785
0,170010001003012,P1_003N,-91.3760465366652,39.94487019688769
0,170010001003016,P1_003N,-91.37142801046211,39.943903396925485
0,170010001003022,P1_003N,-91.37319190573352,39.94044581034822
0,170010001004012,P1_003N,-91.37058195967045,39.93596859929952
0,170010001004014,P1_003N,-91.37218945771853,39.93639724518404
0,170010001004020,P1_003N,-91.36835022100794,39.93560331267026
0,170010001005005,P1_003N,-91.33078753735813,39.9354560634442
0,170010001005006,P1_003N,-91.34073278684389,39.93766018787759
1,170010001005006,P1_003N,-91.34549574076345,39.94175196844207
0,170010001005011,P1_003N,-91.35143127180066,39.93530807029749
0,170010001005014,P1_003N,-91.35579959572603,39.93934719963718
0,170010001005016,P1_003N,-91.35687486469229,39.93873889610911
0,170010002011005,P1_006N,-91.39633372892615,39.959832561485136
0,170010002011018,P1_003N,-91.38357378634444,39.95201510956712
0,170010002012001,P1_003N,-91.38178153250789,39.94951293111616
1,170010002012001,P1_003N,-91.3819398664386,39.95001687505852
0,170010002012006,P1_003N,-91.39235365072395,39.949588361197385
0,170010002012015,P1_003N,-91.38754573396841,39.947359019157574
0,170010002012016,P1_003N,-91.38891205929312,39.94766770267083
0,170010002012019,P1_003N,-91.3800965258923,39.94703373235786
0,170010002021000,P1_003N,-91.37782550129323,39.94067388830509
0,170010002021002,P1_003N,-91.38561033560185,39.938958238969725
1,170010002021002,P1_003N,-91.38614500105304,39.93881986511787
2,170010002021002,P1_003N,-91.38561042041044,39.93934894418319
3,170010002021002,P1_004N,-91.38588716655951,39.93971388751346
0,170010002021008,P1_011N,-91.38462967275014,39.93738794250452
0,170010002022001,P1_003N,-91.38112960808775,39.94622391959803
1,170010002022001,P1_003N,-91.38266571127038,39.946043286319906
0,170010002022007,P1_003N,-91.39340345552526,39.94456183009749
0,170010002022012,P1_003N,-91.39029259605303,39.943264326437216
0,170010002022025,P1_003N,-91.38239053791511,39.94245317549752
0,170010002023003,P1_012N,-91.39360403789178,39.94125051308211
0,170010002023005,P1_003N,-91.39092260088007,39.93988917281418
0,170010002023015,P1_003N,-91.3875502195854,39.9367987836305
0,170010004001004,P1_003N,-91.40362656132851,39.960611377385874
1,170010004001004,P1_004N,-91.40279955824884,39.96352403279344
2,170010004001004,P1_003N,-91.40623950336816,39.958910748407966
0,170010004001038,P1_003N,-91.41223900037396,39.94885196738349
0,170010004002000,P1_003N,-91.40410853843908,39.9500794022079
0,170010004002024,P1_011N,-91.4109080822391,39.94554994462399
0,170010004003014,P1_003N,-91.40417142968525,39.941782613845426
0,170010004003019,P1_003N,-91.40871723210631,39.94090868228951
0,170010004003026,P1_003N,-91.41115820783332,39.93832219565288
0,170010004003036,P1_003N,-91.40529467699089,39.937107448467685
0,170010004004000,P1_003N,-91.40543636254718,39.952410298153865
1,170010004004000,P1_003N,-91.39702799634541,39.951898005516504
0,170010005001002,P1_003N,-91.39798582048114,39.949009816363116
0,170010005001008,P1_004N,-91.40205302941739,39.947596587921865
0,170010005001022,P1_003N,-91.40077290263925,39.944328499030604
0,170010005002010,P1_003N,-91.3952284753551,39.94103555720432
0,170010005002024,P1_003N,-91.39499664939302,39.938417495972246
0,170010006001004,P1_003N,-91.3773112166478,39.934392302766405
0,170010006001008,P1_003N,-91.37073556819898,39.93374518238773
0,170010006001011,P1_003N,-91.37204619362907,39.93380459213218
1,170010006001011,P1_003N,-91.3751122653047,39.93369404203324
0,170010006001014,P1_003N,-91.37536617729633,39.92759550766575
1,170010006001014,P1_003N,-91.37613137281127,39.92852529035988
0,170010006002000,P1_003N,-91.37784080766238,39.93633721619429
1,170010006002000,P1_003N,-91.37824749844255,39.93637359258075
0,170010006002012,P1_003N,-91.37892388696153,39.93238316281068
0,170010006003012,P1_003N,-91.38884455172251,39.93533331811062
0,170010006003014,P1_003N,-91.39587066108494,39.93525206131106
0,170010006003016,P1_011N,-91.39311511547035,39.93335143778514
0,170010006003020,P1_003N,-91.39486504559021,39.93236225349825
1,170010006003020,P1_003N,-91.39495828454375,39.93230637006389
0,170010006004009,P1_003N,-91.39250521620176,39.926873560993336
0,170010006005015,P1_003N,-91.3858871709687,39.928343492713005
0,170010006005016,P1_003N,-91.38702242936327,39.92686030903008
0,170010007002000,P1_003N,-91.40391610794308,39.936882626057624
1,170010007002000,P1_003N,-91.40462533852387,39.93649638820556
0,170010007002002,P1_003N,-91.4079711740482,39.936953747534
0,170010007002022,P1_004N,-91.40420368132226,39.93496436006725
0,170010007002032,P1_003N,-91.41166317883531,39.9321258762294
0,170010007002040,P1_003N,-91.41180061302154,39.93073383391037
1,170010007002040,P1_003N,-91.41335464568797,39.931060633453335
0,170010008002004,P1_003N,-91.41375601674626,39.92757224135065
0,170010008002046,P1_004N,-91.40585768312872,39.912944408799035
0,170010008002050,P1_003N,-91.40589072449168,39.913449034950126
0,170010008003001,P1_003N,-91.40474544456961,39.92039320179368
0,170010008003007,P1_003N,-91.40639799532782,39.917389717203655
0,170010008003011,P1_003N,-91.40388293076617,39.91630479444581
0,170010009001007,P1_003N,-91.39660791942136,39.92693049157861
0,170010009001009,P1_003N,-91.39906248573183,39.92551155873916
0,170010009001015,P1_003N,-91.3981381970201,39.92515199517745
1,170010009001015,P1_004N,-91.39679016752608,39.92423579545907
0,170010009001027,P1_011N,-91.40205939051852,39.92229372495701
0,170010009002001,P1_003N,-91.39934595101059,39.920313887103546
0,170010009002002,P1_003N,-91.401267293412,39.920739504066454
0,170010009002010,P1_003N,-91.40083458933171,39.917750023487926
0,170010009002013,P1_003N,-91.40099773966315,39.91611724284246
0,170010009002014,P1_003N,-91.39972664670033,39.91710856312676
0,170010009002020,P1_003N,-91.40048123868226,39.907610003566795
1,170010009002020,P1_003N,-91.39837184443869,39.904985309649426
2,170010009002020,P1_003N,-91.40223065110384,39.9092646054988
3,170010009002020,P1_004N,-91.40247737908047,39.91022975764044
0,170010009002022,P1_003N,-91.39615922728954,39.90401435962371
0,170010010011000,P1_008N,-91.37847588795414,39.924948483738774
0,170010010011003,P1_003N,-91.38260350193693,39.92597886534563
0,170010010011006,P1_015N,-91.3869785853743,39.924505415525076
0,170010010011018,P1_003N,-91.38593705865527,39.921253898795285
0,170010010011019,P1_003N,-91.38471694495614,39.92184577110402
0,170010010011029,P1_003N,-91.38617821092774,39.920771679282964
0,170010010012003,P1_003N,-91.3929189180452,39.926190892378784
0,170010010012007,P1_003N,-91.39373763200626,39.92398075684473
0,170010010012009,P1_003N,-91.39158323438043,39.924610526813446
1,170010010012009,P1_003N,-91.39069703634253,39.92492677990843
0,170010010012013,P1_003N,-91.38925259677553,39.92294391399527
1,170010010012013,P1_003N,-91.38996346118884,39.923603173097796
0,170010010012015,P1_003N,-91.3934546237964,39.9225070364894
0,170010010012016,P1_012N,-91.3937345397832,39.92380946776686
0,170010010013000,P1_003N,-91.37965297991813,39.918390342556556
0,170010010013002,P1_004N,-91.38257002713665,39.91908640649615
0,170010010013017,P1_003N,-91.38628591349233,39.91648483225938
0,170010010013019,P1_003N,-91.38511600262505,39.91520483837776
0,170010010013022,P1_003N,-91.38057554416348,39.915246098693004
0,170010010021009,P1_003N,-91.39108704060978,39.917443794776666
0,170010010021016,P1_019N,-91.39087863093525,39.91544036266307
0,170010010021018,P1_003N,-91.38841974928458,39.91483245283096
0,170010010021023,P1_003N,-91.39525529709718,39.915416527565306
0,170010010022000,P1_003N,-91.37916157262049,39.9125615952644
1,170010010022000,P1_003N,-91.37974482108339,39.911116553804824
2,170010010022000,P1_003N,-91.37837050610335,39.91339339234081
0,170010010022002,P1_003N,-91.37803311308583,39.911820122300696
0,170010010022003,P1_003N,-91.38408873318764,39.910120979736384
1,170010010022003,P1_003N,-91.38452118365103,39.90911792054679
0,170010010022014,P1_003N,-91.38078021029533,39.90276965017599
1,170010010022014,P1_003N,-91.38961568721128,39.90584266773332
0,170010010022026,P1_003N,-91.38575316401277,39.90086629579882
0,170010011001005,P1_003N,-91.3417925534524,39.93195357452048
0,170010011001010,P1_012N,-91.35637158943827,39.93121606961227
0,170010011002011,P1_003N,-91.37214810155774,39.925434635618906
1,170010011002011,P1_004N,-91.36590712987353,39.92008621242348
2,170010011002011,P1_003N,-91.37008169406009,39.92570575524424
3,170010011002011,P1_006N,-91.36573791083987,39.91911926975538
0,170010011002012,P1_008N,-91.36639087428321,39.92451476595196
0,170010011002013,P1_003N,-91.36974526796055,39.919248728810615
0,170010011002025,P1_003N,-91.37022380427595,39.91714807374589
0,170010011002032,P1_003N,-91.36216864606617,39.91465002158612
0,170010011002033,P1_003N,-91.36242456167327,39.914046280248684
0,170010011002036,P1_003N,-91.3717980380507,39.91460679044295
0,170010011002040,P1_003N,-91.360541143036,39.91625841465818
0,170010011003001,P1_003N,-91.34568853165713,39.91072446582301
1,170010011003001,P1_003N,-91.34456945185353,39.91070440778077
2,170010011003001,P1_003N,-91.34354354527241,39.910519586965016
0,170010011003016,P1_003N,-91.36404908785069,39.91084129272357
1,170010011003016,P1_011N,-91.36163694618627,39.909228854831255
2,170010011003016,P1_003N,-91.36583304127412,39.91250147494492
3,170010011003016,P1_003N,-91.36848627958477,39.904398918553056
