,distances,distances,distances,distances,distances,distances,distances,distances
,count,mean,std,min,25%,50%,75%,max
race,,,,,,,,
P1_003N,30664.0,118318.85101319668,136183.84922956733,2.6673573838765594,14431.923553503062,45429.27812849408,200856.47718501824,530575.010949194
P1_004N,7050.0,60922.09191467059,117066.98812087717,0.7610198536749858,282.913911349837,3232.604879429884,40150.05972853617,533669.8632497023
P1_005N,388.0,39977.27058348339,76948.18384518097,34.049885250447446,351.74947943180274,8538.531709425213,40005.689619613135,457456.96093159745
P1_006N,2894.0,38007.94619403911,69672.83462432343,19.42702177107504,673.2667622371661,19743.888401987137,35449.09551401824,485976.5364453773
P1_007N,16.0,66632.1306382908,111746.56692025079,1375.5996333332748,14888.953043693333,25133.815630668556,51203.63133541738,445766.1364998068
P1_008N,4446.0,32663.693421385884,65281.82722826744,6.1895575458083885,329.2024094453972,5688.2463705370465,37936.47939002343,485548.3110736019
P1_011N,436.0,132886.91302481762,142385.08013992402,12.289142536164528,11204.271640496701,64462.02131479912,230106.11063252247,509066.500069559
P1_012N,437.0,154033.0021548254,152260.32988113296,49.21158768096138,28376.07645398312,78563.54124739551,267098.2141030633,519640.65532867954
P1_013N,398.0,60542.72962167853,95668.57178834794,23.823847857298304,4523.229880248547,25163.40391140461,47961.56847666713,445579.3179058476
P1_014N,17.0,84168.93783254105,120479.58253316104,95.76273009311296,192.34119072328215,29559.361440333112,166811.81699474147,354542.2499047764
P1_015N,2773.0,45544.71981497249,82903.7197374329,7.006977858106487,655.0547269924641,16277.371144753413,43685.036126856045,474148.28899773344
P1_016N,44.0,53573.15441420216,106634.1777236906,20.186254416940674,267.04452308470695,530.7103464242084,33100.89100165601,397129.91280830663
P1_017N,24.0,55772.472883966635,95993.31561131854,41.22177218495154,255.74760415516997,15939.875819144801,64642.43649960944,398574.0171737417
P1_018N,4.0,154774.03048592992,207899.2961795395,141.11914260934043,31416.179999994638,80637.3295081505,203995.17999408577,457680.3437848092
P1_019N,80.0,59665.24722864742,108055.06082351011,24.990884808403024,321.9335059717096,11492.977031839724,65381.01109897768,503119.0764907183
P1_020N,3.0,62604.9657135463,70614.43100003901,6817.050633246876,22908.330325837473,38999.610018428066,90498.92325369602,141998.23648896397
P1_022N,84.0,27357.03897760923,65573.50737187215,94.24112124833516,309.0321365364409,3810.9573752061965,34715.0147799439,392949.98778445483
P1_023N,13.0,41843.86874796189,66053.20654463362,147.26064507091297,2819.685467238887,21632.565654591323,41465.04814740457,237571.50299861532
P1_024N,29.0,34687.60366030753,64105.61665582617,67.38023014436044,300.3911675838048,10729.037107908784,36565.831970262545,281994.764788595
P1_025N,6.0,49910.15063652906,92995.82843130203,221.0418956540317,2258.418334660418,9527.385341134264,34904.69774851693,236985.86002443824
P1_027N,40.0,127288.01371643464,153324.91176372673,166.94672201223332,2413.4015074211993,49095.1970106927,209669.2878157869,483346.9798803459
P1_028N,6.0,134635.28922932662,160581.79138824838,115.34638408361725,40584.04833906085,51053.60397035228,215546.84098148788,398117.06460400805
P1_030N,30.0,31777.310618610627,49545.09216658303,71.25087819030314,2191.225425184162,16339.732394828321,39470.65051239038,206006.3755199477
P1_031N,4.0,264198.4015374179,195455.05908606463,38726.71449769513,139243.29249915393,272238.2968788155,397193.4059170794,473590.29789434554
P1_032N,2.0,95661.48259742407,59780.53118884764,53390.26361085599,74525.87310414002,95661.48259742407,116797.0920907081,137932.70158399214
P1_033N,71.0,36967.92186347351,66957.03668625857,105.08472932556636,380.1718458346025,13545.802352876277,42243.84009468974,396000.0108600671
P1_034N,6.0,124987.12371683882,187202.42984664557,68.53943573975272,252.898212319628,9056.182907514876,261321.3812904745,389013.5863182144
P1_035N,15.0,49910.06001916548,112316.80709451222,185.9362423520678,1430.9691296543501,23242.09037837508,43139.27766515616,449120.91815502493
P1_038N,1.0,20817.19121451071,,20817.19121451071,20817.19121451071,20817.19121451071,20817.19121451071,20817.19121451071
P1_039N,4.0,15202.497604751898,26555.762721235733,461.01222916974893,487.66634563590895,2719.016029235421,17433.847288351408,54910.946131366996
P1_040N,1.0,42249.68762577142,,42249.68762577142,42249.68762577142,42249.68762577142,42249.68762577142,42249.68762577142
P1_045N,1.0,135181.5592021099,,135181.5592021099,135181.5592021099,135181.5592021099,135181.5592021099,135181.5592021099
P1_048N,4.0,43932.27508857777,87142.31145310788,117.41728782460402,379.42049445162655,483.09904374146265,44035.953637867606,174645.48497900355
P1_050N,10.0,29283.952941527776,70933.18683930517,126.49745988547497,188.83551871824295,363.4045660410651,17056.353325776574,228603.3516974384
P1_052N,1.0,31311.19905165842,,31311.19905165842,31311.19905165842,31311.19905165842,31311.19905165842,31311.19905165842
P1_054N,1.0,170947.2404944261,,170947.2404944261,170947.2404944261,170947.2404944261,170947.2404944261,170947.2404944261
P1_055N,1.0,327897.15957311017,,327897.15957311017,327897.15957311017,327897.15957311017,327897.15957311017,327897.15957311017
P1_057N,2.0,211012.82626921078,294728.816923294,2608.0812116611046,106810.45374043594,211012.82626921078,315215.1987979856,419417.57132676046
P1_063N,4.0,201211.13519782957,234527.46665263607,16.936477052340642,3142.781757647517,173922.30673592602,371990.6601761081,456982.990842414
P1_064N,1.0,400206.65008013917,,400206.65008013917,400206.65008013917,400206.65008013917,400206.65008013917,400206.65008013917
P1_071N,2.0,224236.76902867234,315456.0368452699,1175.6662091485991,112706.21761891046,224236.76902867234,335767.3204384342,447297.8718481961
